brand,model,variant,year,fuel_type,transmission,km_driven,engine_cc,mileage,ownership,location,seats,condition,insurance_valid,price
Honda,WR-V,SV,2013,Petrol,Manual,137355,1448,18.7,2nd Owner,Pune,5,Good,True,130000
Tata,Harrier,Smart,2013,Diesel,Automatic,103178,1906,16.2,2nd Owner,Pune,5,Fair,True,350000
Mercedes-Benz,GLC,GLC 300,2024,Petrol,Automatic,14874,1943,13.8,4+ Owners,Surat,5,Fair,False,3020000
MG,Hector,Style,2022,Petrol,Automatic,35104,1906,14.5,3rd Owner,Lucknow,5,Good,False,715000
Hyundai,Venue,SX(O),2014,Petrol,Automatic,174235,1197,17.6,2nd Owner,Pune,5,Fair,False,125000
Volkswagen,Taigun,Topline,2022,Petrol,Manual,37172,1448,17.7,2nd Owner,Ahmedabad,5,Good,False,630000
Kia,Carens,Prestige,2018,Diesel,Manual,62976,1497,16.3,3rd Owner,Hyderabad,7,Excellent,False,350000
Mahindra,XUV300,W8(O),2020,Diesel,Automatic,76277,1497,19.3,1st Owner,Bengaluru,5,Poor,True,295000
Hyundai,Verna,EX,2017,Petrol,Automatic,85191,1447,17.3,1st Owner,Jaipur,5,Good,False,350000
Mahindra,Scorpio-N,Z6,2024,Diesel,Manual,21414,2184,15.7,1st Owner,Kochi,7,Fair,False,1040000
Mercedes-Benz,E-Class,E 200,2022,Petrol,Automatic,56041,1993,14.2,2nd Owner,Kolkata,5,Good,False,3840000
Volkswagen,Taigun,Comfortline,2018,Petrol,Automatic,102177,1498,17.6,1st Owner,Pune,5,Good,True,440000
BMW,3 Series,330i M Sport,2023,Diesel,Automatic,31949,1995,16.7,4+ Owners,Kochi,5,Fair,False,2010000
Renault,Kwid,RXT,2015,Petrol,Automatic,134062,999,20.7,4+ Owners,Hyderabad,5,Poor,True,120000
Volkswagen,Polo,Highline,2014,Petrol,Manual,103445,1049,18.5,1st Owner,Bengaluru,5,Good,True,135000
Kia,Sonet,HTK,2016,Diesel,Manual,131431,1197,18.5,2nd Owner,Pune,5,Poor,False,120000
Hyundai,i20,Asta(O),2020,Petrol,Automatic,54420,1147,19.8,4+ Owners,Bengaluru,5,Fair,True,225000
MG,Astor,Smart,2016,Petrol,Manual,130068,1498,15.1,2nd Owner,Jaipur,5,Fair,False,350000
Renault,Kwid,RXT,2017,Petrol,Automatic,100264,1049,23.0,2nd Owner,Ahmedabad,5,Good,True,140000
BMW,5 Series,530d M Sport,2019,Petrol,Automatic,83844,1945,18.6,2nd Owner,Chennai,5,Fair,True,2085000
BMW,3 Series,330i M Sport,2019,Petrol,Automatic,48494,2045,16.9,3rd Owner,Ahmedabad,5,Poor,True,1130000
Skoda,Slavia,Ambition,2013,Petrol,Automatic,160802,1548,18.2,2nd Owner,Ahmedabad,5,Excellent,True,350000
BMW,3 Series,330i M Sport,2023,Diesel,Automatic,37791,1945,16.2,2nd Owner,Surat,5,Poor,True,2205000
Toyota,Innova Crysta,GX,2013,Diesel,Manual,138681,2393,15.2,4+ Owners,Bengaluru,7,Excellent,True,350000
Tata,Safari,Adventure,2015,Diesel,Manual,161472,1956,16.9,1st Owner,Ahmedabad,7,Fair,False,350000
Maruti Suzuki,Swift,ZXi Plus,2016,Petrol,Automatic,98356,1147,20.8,1st Owner,Mumbai,5,Fair,True,160000
Hyundai,i20,Magna,2023,Petrol,Manual,22973,1247,19.2,3rd Owner,Pune,5,Good,True,430000
Kia,Sonet,HTE,2016,Petrol,Manual,119718,1147,16.9,3rd Owner,Mumbai,5,Poor,True,120000
Hyundai,Alcazar,Platinum,2023,Diesel,Manual,20889,1493,17.5,4+ Owners,Delhi,7,Good,False,780000
Renault,Triber,RXZ,2023,Petrol,Automatic,27825,1049,18.9,3rd Owner,Mumbai,7,Poor,False,270000
BMW,3 Series,320d Sport,2022,Petrol,Automatic,23420,1995,15.3,4+ Owners,Kochi,5,Good,True,2005000
Mahindra,XUV300,W8,2016,Petrol,Automatic,90101,1447,21.3,4+ Owners,Surat,5,Fair,True,145000
MG,Hector,Sharp Pro,2023,Diesel,Manual,30683,1956,15.0,1st Owner,Vadodara,5,Good,True,1050000
Kia,Carens,Luxury,2015,Diesel,Manual,81693,1447,17.9,1st Owner,Vadodara,7,Good,True,350000
Tata,Altroz,XZ+,2016,Petrol,Manual,133482,1199,18.3,2nd Owner,Hyderabad,5,Poor,True,120000
Toyota,Glanza,V,2023,Petrol,Automatic,38959,1197,22.0,2nd Owner,Kolkata,5,Poor,False,330000
BMW,5 Series,520d Luxury Line,2020,Petrol,Automatic,75375,1995,17.7,2nd Owner,Jaipur,5,Good,False,2535000
Toyota,Camry,2.5 Hybrid,2019,Hybrid,Automatic,78451,2487,19.7,2nd Owner,Bengaluru,5,Good,True,1575000
Skoda,Octavia,L&K,2020,Petrol,Automatic,76903,1984,15.8,1st Owner,Ahmedabad,5,Excellent,True,1355000
Renault,Kwid,RXT,2019,Petrol,Automatic,104448,1049,22.6,1st Owner,Vadodara,5,Poor,False,140000
Honda,Civic,V,2018,Petrol,Automatic,85710,1849,15.4,2nd Owner,Chandigarh,5,Good,True,560000
Hyundai,Alcazar,Signature,2019,Diesel,Manual,100558,1493,17.1,4+ Owners,Chennai,7,Fair,False,360000
BMW,5 Series,520d Luxury Line,2014,Diesel,Automatic,124316,2045,17.1,3rd Owner,Mumbai,5,Good,False,940000
Hyundai,Alcazar,Platinum,2021,Diesel,Automatic,64095,1443,17.7,2nd Owner,Hyderabad,7,Poor,True,580000
Hyundai,Venue,SX(O),2016,Petrol,Manual,68653,1147,16.8,4+ Owners,Kolkata,5,Excellent,True,155000
Hyundai,Venue,E,2017,Petrol,Automatic,58220,1197,17.5,1st Owner,Mumbai,5,Excellent,False,295000
Maruti Suzuki,Swift,LXi,2016,Petrol,Automatic,145555,1197,22.2,3rd Owner,Chandigarh,5,Poor,False,120000
Mahindra,Scorpio-N,Z4,2018,Diesel,Automatic,57329,2184,15.6,1st Owner,Mumbai,7,Poor,False,410000
Tata,Nexon,Smart,2021,Diesel,Manual,63584,1249,18.0,4+ Owners,Jaipur,5,Poor,True,210000
MG,Astor,Style,2023,Petrol,Manual,37278,1448,15.1,4+ Owners,Surat,5,Excellent,False,500000
Volkswagen,Polo,Trendline,2024,Petrol,Automatic,16737,1049,19.3,1st Owner,Bengaluru,5,Poor,True,405000
MG,Astor,Super,2020,Petrol,Automatic,89094,1448,13.9,1st Owner,Delhi,5,Poor,True,355000
Mahindra,XUV300,W8,2016,Diesel,Automatic,78384,1547,20.4,4+ Owners,Delhi,5,Fair,True,155000
Mercedes-Benz,GLC,GLC 220d,2023,Diesel,Automatic,39915,1943,13.9,1st Owner,Chennai,5,Excellent,True,4470000
BMW,X1,sDrive20d,2024,Petrol,Automatic,17308,1995,16.5,1st Owner,Chennai,5,Excellent,True,3815000
Kia,Sonet,HTX,2023,Petrol,Manual,25714,1147,18.5,4+ Owners,Pune,5,Good,False,385000
Volkswagen,Polo,GT TSI,2015,Petrol,Manual,73427,999,18.2,1st Owner,Chennai,5,Poor,True,120000
BMW,5 Series,520d Luxury Line,2018,Petrol,Automatic,74357,1945,18.5,4+ Owners,Chennai,5,Good,True,1605000
Mahindra,XUV300,W8(O),2018,Diesel,Automatic,62056,1547,19.3,2nd Owner,Surat,5,Poor,True,200000
Mercedes-Benz,GLC,GLC 220d,2024,Diesel,Automatic,15615,1993,15.3,3rd Owner,Bengaluru,5,Good,True,4175000
Honda,City,VX,2024,Petrol,Manual,27335,1548,18.8,1st Owner,Delhi,5,Fair,False,800000
Maruti Suzuki,Baleno,Zeta,2022,CNG,Manual,50490,1147,21.8,4+ Owners,Kolkata,5,Fair,True,250000
Kia,Carens,Premium,2020,Diesel,Automatic,81770,1447,15.4,1st Owner,Delhi,7,Poor,True,380000
Renault,Kiger,RXT,2017,Petrol,Manual,114542,1049,19.7,3rd Owner,Chandigarh,5,Good,True,155000
BMW,X1,sDrive20d,2019,Petrol,Automatic,108200,1995,15.0,1st Owner,Kochi,5,Good,True,1600000
Renault,Kiger,RXE,2013,Petrol,Automatic,100836,949,19.3,2nd Owner,Delhi,5,Fair,True,120000
Hyundai,Grand i10 Nios,Sportz,2018,Petrol,Automatic,48076,1197,19.3,3rd Owner,Vadodara,5,Poor,True,135000
BMW,5 Series,530d M Sport,2022,Petrol,Automatic,26812,1945,16.5,3rd Owner,Lucknow,5,Good,True,3280000
Honda,WR-V,VX,2015,Diesel,Manual,112217,1498,17.9,2nd Owner,Ahmedabad,5,Poor,True,135000
MG,Astor,Super,2021,Petrol,Manual,51221,1548,14.4,2nd Owner,Ahmedabad,5,Good,False,495000
Kia,Sonet,HTE,2022,Petrol,Manual,39741,1247,17.2,4+ Owners,Delhi,5,Fair,True,295000
Mahindra,Scorpio-N,Z4,2016,Diesel,Manual,78219,2184,15.9,2nd Owner,Ahmedabad,7,Excellent,True,360000
BMW,5 Series,530d M Sport,2014,Diesel,Automatic,122903,1945,16.4,4+ Owners,Bengaluru,5,Fair,False,760000
Tata,Harrier,Smart,2023,Diesel,Manual,27217,2006,17.5,1st Owner,Surat,5,Fair,True,1055000
Kia,Carens,Luxury Plus,2015,Diesel,Automatic,154686,1497,15.8,4+ Owners,Jaipur,7,Good,False,350000
Hyundai,Verna,SX(O),2018,Petrol,Manual,57980,1447,17.6,1st Owner,Delhi,5,Fair,False,350000
Maruti Suzuki,Alto,VXi,2021,Petrol,Manual,75217,846,26.2,1st Owner,Ahmedabad,5,Excellent,True,210000
BMW,3 Series,320d Sport,2019,Diesel,Automatic,99257,2045,15.9,2nd Owner,Vadodara,5,Good,True,1610000
Audi,A4,40 TFSI Technology,2013,Petrol,Automatic,157536,1984,18.8,3rd Owner,Vadodara,5,Good,True,600000
Volkswagen,Taigun,Topline,2016,Petrol,Automatic,96614,1548,17.8,1st Owner,Kolkata,5,Poor,True,350000
Renault,Triber,RXT,2017,Petrol,Manual,56485,1049,18.1,3rd Owner,Mumbai,7,Excellent,False,160000
Hyundai,Grand i10 Nios,Magna,2019,Petrol,Automatic,41340,1247,20.0,4+ Owners,Ahmedabad,5,Fair,False,150000
Tata,Altroz,XT,2014,Diesel,Automatic,102103,1199,20.0,1st Owner,Pune,5,Good,True,145000
Maruti Suzuki,Brezza,ZXi Plus,2019,CNG,Manual,59642,1462,21.2,3rd Owner,Delhi,5,Poor,False,205000
Mercedes-Benz,GLC,GLC 220d,2018,Diesel,Automatic,63021,1943,15.6,2nd Owner,Bengaluru,5,Fair,True,1810000
Honda,City,ZX,2018,Hybrid,Manual,108795,1498,17.1,1st Owner,Kochi,5,Poor,True,350000
BMW,X1,sDrive20d,2016,Diesel,Automatic,103222,2045,17.3,2nd Owner,Kolkata,5,Excellent,True,1015000
Audi,Q3,35 TDI Quattro,2016,Petrol,Automatic,122368,1984,17.3,2nd Owner,Ahmedabad,5,Excellent,True,1000000
Maruti Suzuki,Alto,LXi,2021,CNG,Manual,49672,796,24.6,4+ Owners,Vadodara,5,Excellent,False,130000
Mahindra,Scorpio-N,Z6,2024,Diesel,Manual,19259,2184,13.5,1st Owner,Mumbai,7,Fair,True,1030000
Toyota,Fortuner,Legender,2015,Diesel,Automatic,132992,2755,13.6,1st Owner,Vadodara,7,Excellent,True,825000
BMW,5 Series,530d M Sport,2016,Diesel,Automatic,120349,1945,16.3,1st Owner,Mumbai,5,Good,True,1750000
Hyundai,Creta,SX(O),2022,Diesel,Automatic,54385,1547,17.5,1st Owner,Bengaluru,5,Good,False,715000
Toyota,Glanza,G,2020,Petrol,Automatic,46564,1197,22.4,1st Owner,Bengaluru,5,Fair,True,315000
Renault,Kwid,RXT,2024,Petrol,Automatic,33858,949,21.0,4+ Owners,Jaipur,5,Poor,False,195000
Honda,Amaze,E,2015,Petrol,Manual,161872,1249,19.2,3rd Owner,Chennai,5,Good,False,120000
Skoda,Slavia,Active,2016,Petrol,Manual,104450,1548,17.4,3rd Owner,Bengaluru,5,Fair,True,350000
Honda,Amaze,VX,2014,Petrol,Automatic,145881,1149,19.9,3rd Owner,Surat,5,Good,False,120000
Toyota,Glanza,E,2023,Petrol,Automatic,29358,1147,21.6,1st Owner,Jaipur,5,Excellent,False,575000
Toyota,Innova Crysta,VX,2016,Diesel,Automatic,95889,2393,14.1,2nd Owner,Surat,7,Poor,False,350000
Volkswagen,Virtus,GT Plus,2015,Petrol,Manual,96829,1548,18.6,2nd Owner,Vadodara,5,Fair,True,350000
Tata,Safari,Pure,2014,Diesel,Manual,155850,1956,17.5,4+ Owners,Delhi,7,Good,True,350000
Kia,Sonet,HTE,2014,Petrol,Manual,98048,1147,17.7,1st Owner,Kochi,5,Excellent,True,175000
Audi,A6,45 TFSI Premium Plus,2016,Petrol,Automatic,131462,1984,13.6,2nd Owner,Hyderabad,5,Excellent,False,1450000
Hyundai,Creta,E,2014,Diesel,Manual,175376,1447,15.3,2nd Owner,Mumbai,5,Good,False,350000
Mahindra,Scorpio-N,Z4,2023,Diesel,Manual,40949,2184,16.0,2nd Owner,Delhi,7,Fair,False,730000
Mahindra,Thar,LX Petrol AT,2014,Petrol,Manual,110026,2184,15.3,2nd Owner,Vadodara,4,Poor,True,350000
MG,Astor,Smart,2018,Petrol,Automatic,115479,1498,15.7,1st Owner,Kochi,5,Excellent,True,405000
Tata,Harrier,Pure,2019,Diesel,Automatic,47568,2006,16.6,3rd Owner,Bengaluru,5,Excellent,False,615000
Tata,Safari,Adventure,2018,Diesel,Automatic,113862,2006,17.2,3rd Owner,Bengaluru,7,Good,False,480000
Volkswagen,Polo,GT TSI,2021,Petrol,Automatic,39756,1049,18.4,2nd Owner,Surat,5,Excellent,True,345000
Honda,City,VX,2021,Hybrid,Manual,35996,1498,17.4,2nd Owner,Chennai,5,Poor,True,440000
Skoda,Kushaq,Ambition,2016,Petrol,Manual,80490,1548,18.5,4+ Owners,Surat,5,Excellent,False,350000
BMW,3 Series,320d Sport,2022,Petrol,Automatic,30858,1945,15.7,1st Owner,Hyderabad,5,Excellent,True,3230000
Audi,A6,45 TFSI Premium Plus,2015,Petrol,Automatic,161958,1984,13.8,3rd Owner,Kolkata,5,Excellent,False,1025000
Maruti Suzuki,Swift,VXi,2021,Petrol,Manual,65410,1247,23.6,4+ Owners,Jaipur,5,Fair,False,190000
Kia,Seltos,HTX,2014,Diesel,Manual,116212,1547,15.7,4+ Owners,Bengaluru,5,Excellent,False,350000
MG,Astor,Sharp,2015,Petrol,Automatic,141640,1498,13.6,1st Owner,Pune,5,Fair,True,350000
Tata,Altroz,XE,2014,Petrol,Manual,131843,1249,18.4,1st Owner,Hyderabad,5,Fair,True,125000
Renault,Kwid,CLIMBER,2013,Petrol,Automatic,98907,949,23.4,3rd Owner,Ahmedabad,5,Good,False,120000
BMW,5 Series,520d Luxury Line,2024,Petrol,Automatic,29594,1945,17.4,2nd Owner,Mumbai,5,Poor,False,3335000
Audi,A4,40 TFSI Technology,2015,Petrol,Automatic,77718,2034,16.6,2nd Owner,Kochi,5,Good,True,1045000
Skoda,Octavia,L&K,2020,Petrol,Automatic,66493,2034,16.9,4+ Owners,Mumbai,5,Poor,True,635000
Renault,Kiger,RXE,2015,Petrol,Manual,67020,999,19.2,1st Owner,Kolkata,5,Excellent,False,165000
Toyota,Innova Crysta,GX,2017,Diesel,Automatic,64314,2393,14.1,4+ Owners,Chennai,7,Poor,False,350000
Volkswagen,Polo,Comfortline,2014,Petrol,Manual,144156,999,17.9,2nd Owner,Kolkata,5,Fair,False,120000
MG,Astor,Sharp,2017,Petrol,Manual,86229,1448,15.9,3rd Owner,Ahmedabad,5,Good,False,350000
Honda,Civic,VX,2023,Petrol,Automatic,44571,1849,16.6,4+ Owners,Delhi,5,Excellent,True,960000
Kia,Sonet,HTK,2019,Diesel,Manual,79996,1247,18.4,4+ Owners,Delhi,5,Fair,False,175000
Tata,Safari,Pure,2023,Diesel,Automatic,21769,1906,17.6,3rd Owner,Kochi,7,Poor,False,730000
Honda,City,ZX,2019,Hybrid,Automatic,59564,1448,16.5,4+ Owners,Delhi,5,Fair,False,350000
Skoda,Slavia,Style,2017,Petrol,Manual,70647,1498,19.9,3rd Owner,Bengaluru,5,Good,False,350000
Volkswagen,Taigun,Highline,2024,Petrol,Automatic,20912,1548,18.6,2nd Owner,Delhi,5,Good,False,915000
Audi,Q3,40 TFSI,2013,Petrol,Automatic,113590,1984,14.6,4+ Owners,Chennai,5,Excellent,False,560000
Audi,A4,40 TFSI Technology,2023,Petrol,Automatic,27817,1984,18.0,2nd Owner,Chandigarh,5,Poor,True,2115000
Honda,City,VX,2018,Petrol,Automatic,92458,1448,18.4,4+ Owners,Ahmedabad,5,Poor,False,350000
Skoda,Kushaq,Style,2014,Petrol,Automatic,158329,1448,18.1,2nd Owner,Jaipur,5,Poor,False,350000
MG,Astor,Smart,2024,Petrol,Manual,12868,1548,13.3,4+ Owners,Delhi,5,Poor,True,430000
Skoda,Octavia,Style,2023,Petrol,Automatic,28064,1984,16.0,1st Owner,Hyderabad,5,Poor,True,1460000
Mercedes-Benz,E-Class,E 200,2023,Diesel,Automatic,36082,2043,14.4,3rd Owner,Chennai,5,Poor,True,2800000
Kia,Seltos,HTE,2013,Petrol,Automatic,189727,1497,16.0,4+ Owners,Hyderabad,5,Poor,True,350000
Kia,Seltos,X-Line,2019,Petrol,Automatic,64526,1497,17.1,4+ Owners,Hyderabad,5,Excellent,True,370000
MG,Astor,Smart,2021,Petrol,Automatic,44217,1448,13.4,1st Owner,Vadodara,5,Good,True,615000
Skoda,Slavia,Style,2019,Petrol,Manual,95898,1448,17.7,2nd Owner,Chennai,5,Good,True,400000
Mercedes-Benz,E-Class,E 200,2023,Petrol,Automatic,20432,2043,13.6,1st Owner,Delhi,5,Poor,True,3700000
Toyota,Glanza,S,2014,Petrol,Automatic,142459,1197,21.1,1st Owner,Ahmedabad,5,Excellent,False,155000
Hyundai,i20,Asta(O),2019,Petrol,Automatic,59418,1197,18.9,2nd Owner,Vadodara,5,Excellent,True,315000
Mahindra,XUV300,W4,2015,Diesel,Manual,97233,1547,18.6,2nd Owner,Hyderabad,5,Fair,True,160000
Maruti Suzuki,Wagon R,LXi,2016,Petrol,Manual,104323,998,24.3,1st Owner,Pune,5,Fair,False,125000
Volkswagen,Taigun,GT,2016,Petrol,Manual,93025,1498,16.6,3rd Owner,Bengaluru,5,Good,False,350000
Volkswagen,Taigun,Topline,2018,Petrol,Automatic,103536,1548,17.4,1st Owner,Kolkata,5,Good,True,465000
Toyota,Camry,2.5 Hybrid,2022,Hybrid,Automatic,23838,2487,18.1,3rd Owner,Ahmedabad,5,Good,False,2160000
Honda,WR-V,VX,2015,Diesel,Manual,68946,1548,16.0,3rd Owner,Hyderabad,5,Poor,False,120000
Skoda,Slavia,Ambition,2017,Petrol,Manual,69729,1548,18.8,1st Owner,Chandigarh,5,Poor,False,350000
Mahindra,XUV700,AX3,2013,Diesel,Automatic,88454,2184,13.8,1st Owner,Kolkata,7,Good,False,350000
Honda,City,VX,2013,Petrol,Automatic,136714,1498,16.4,1st Owner,Pune,5,Excellent,True,350000
Audi,A6,45 TFSI Technology,2017,Petrol,Automatic,110337,2034,14.9,4+ Owners,Chandigarh,5,Excellent,False,1265000
Volkswagen,Taigun,Comfortline,2018,Petrol,Manual,74143,1448,16.7,3rd Owner,Lucknow,5,Poor,True,350000
Honda,WR-V,SV,2024,Petrol,Manual,11225,1448,18.8,1st Owner,Chennai,5,Fair,False,590000
Tata,Punch,Creative,2014,Petrol,Automatic,103859,1249,19.8,1st Owner,Jaipur,5,Good,False,140000
Toyota,Glanza,V,2016,Petrol,Automatic,105886,1197,22.5,2nd Owner,Vadodara,5,Good,True,170000
Volkswagen,Virtus,Highline,2013,Petrol,Automatic,159082,1498,17.4,2nd Owner,Lucknow,5,Fair,False,350000
MG,Hector,Style,2015,Petrol,Automatic,138899,2006,15.8,4+ Owners,Hyderabad,5,Excellent,False,350000
MG,Astor,Style,2015,Petrol,Manual,85796,1448,16.0,2nd Owner,Chennai,5,Excellent,False,350000
Volkswagen,Taigun,Topline,2014,Petrol,Automatic,156302,1448,17.5,4+ Owners,Jaipur,5,Fair,True,350000
Mahindra,Thar,AX(O),2023,Diesel,Automatic,28347,2184,14.3,2nd Owner,Chandigarh,4,Fair,False,760000
Hyundai,Alcazar,Prestige,2023,Petrol,Manual,26678,1443,19.3,3rd Owner,Hyderabad,7,Excellent,True,905000
Renault,Kiger,RXZ,2019,Petrol,Automatic,53215,1049,20.1,3rd Owner,Kolkata,5,Good,True,245000
Mahindra,Scorpio-N,Z8L,2017,Petrol,Manual,85533,2184,15.7,4+ Owners,Surat,7,Fair,True,350000
MG,Hector,Shine,2015,Diesel,Automatic,87761,2006,15.7,3rd Owner,Mumbai,5,Good,False,350000
Tata,Tiago,XE,2022,CNG,Automatic,28064,1149,19.9,1st Owner,Lucknow,5,Excellent,False,385000
Skoda,Octavia,Style,2015,Petrol,Automatic,122389,1984,15.8,3rd Owner,Jaipur,5,Fair,False,415000
Volkswagen,Virtus,Topline,2017,Petrol,Automatic,71045,1548,18.7,1st Owner,Bengaluru,5,Poor,True,350000
Tata,Harrier,Fearless,2013,Diesel,Automatic,153924,2006,15.6,4+ Owners,Vadodara,5,Excellent,False,350000
MG,Astor,Super,2017,Petrol,Automatic,114490,1498,14.2,1st Owner,Chandigarh,5,Fair,True,350000
Volkswagen,Polo,Highline,2017,Petrol,Manual,125976,999,18.7,3rd Owner,Chandigarh,5,Good,False,140000
Hyundai,Verna,EX,2020,Petrol,Manual,61838,1447,18.6,1st Owner,Ahmedabad,5,Fair,True,425000
Tata,Harrier,Adventure,2021,Diesel,Manual,50507,2006,15.9,1st Owner,Chennai,5,Good,True,885000
Mahindra,XUV700,AX7,2019,Diesel,Manual,72908,2184,14.3,2nd Owner,Chandigarh,7,Poor,False,400000
Tata,Tiago,XM,2017,Petrol,Automatic,84344,1199,18.8,4+ Owners,Jaipur,5,Good,False,120000
Audi,A6,45 TFSI Premium Plus,2015,Petrol,Automatic,158652,1984,13.7,4+ Owners,Ahmedabad,5,Poor,False,620000
Skoda,Slavia,Ambition,2014,Petrol,Automatic,124091,1498,17.4,3rd Owner,Mumbai,5,Poor,True,350000
Maruti Suzuki,Grand Vitara,Alpha,2013,Petrol,Manual,133291,1490,28.2,3rd Owner,Chandigarh,5,Poor,False,350000
Hyundai,Alcazar,Signature,2023,Petrol,Manual,41735,1543,18.8,4+ Owners,Bengaluru,7,Good,True,740000
Toyota,Fortuner,Legender,2022,Petrol,Manual,24400,2755,13.2,1st Owner,Jaipur,7,Excellent,True,2120000
Volkswagen,Virtus,GT Plus,2019,Petrol,Manual,79019,1498,20.0,2nd Owner,Lucknow,5,Fair,False,355000
Renault,Kwid,CLIMBER,2015,Petrol,Manual,91474,949,22.0,2nd Owner,Kolkata,5,Poor,False,120000
Hyundai,Grand i10 Nios,Asta,2018,CNG,Automatic,96326,1197,20.5,4+ Owners,Bengaluru,5,Excellent,False,150000
Renault,Triber,RXE,2022,Petrol,Manual,49826,999,20.4,4+ Owners,Surat,7,Poor,False,180000
Tata,Harrier,Pure,2018,Diesel,Manual,69344,1956,17.3,3rd Owner,Kolkata,5,Good,False,455000
MG,Astor,Sharp,2014,Petrol,Automatic,163703,1548,15.4,3rd Owner,Bengaluru,5,Fair,False,350000
Audi,A6,45 TFSI Premium Plus,2013,Petrol,Automatic,124929,2034,12.9,4+ Owners,Pune,5,Good,True,725000
Tata,Tiago,XZ+,2019,Petrol,Manual,68596,1149,21.0,1st Owner,Kolkata,5,Fair,True,205000
Mahindra,Thar,LX Diesel AT,2020,Diesel,Manual,54838,2184,14.5,4+ Owners,Vadodara,4,Fair,True,360000
Tata,Safari,Pure,2014,Diesel,Manual,108552,1906,17.5,3rd Owner,Kochi,7,Poor,True,350000
MG,Astor,Super,2016,Petrol,Automatic,116658,1448,14.6,4+ Owners,Lucknow,5,Excellent,True,350000
Skoda,Kushaq,Active,2014,Petrol,Manual,86972,1498,16.5,3rd Owner,Lucknow,5,Fair,False,350000
Hyundai,i20,Asta,2014,Petrol,Automatic,147408,1247,20.9,1st Owner,Chandigarh,5,Poor,False,120000
Maruti Suzuki,Wagon R,VXi,2017,Petrol,Automatic,61039,948,25.3,3rd Owner,Kochi,5,Excellent,True,155000
Mercedes-Benz,GLC,GLC 220d,2018,Petrol,Automatic,62404,1943,14.0,1st Owner,Delhi,5,Excellent,False,2300000
MG,Astor,Sharp,2020,Petrol,Manual,35012,1448,15.6,2nd Owner,Jaipur,5,Poor,True,350000
Maruti Suzuki,Alto,LXi,2024,Petrol,Manual,24243,746,24.5,3rd Owner,Pune,5,Good,False,225000
Maruti Suzuki,Dzire,VXi,2014,Petrol,Manual,157989,1247,22.7,1st Owner,Lucknow,5,Good,True,120000
Tata,Safari,Pure,2017,Diesel,Automatic,105553,1956,15.2,4+ Owners,Kolkata,7,Excellent,True,395000
Skoda,Slavia,Ambition,2024,Petrol,Manual,27491,1498,19.3,3rd Owner,Lucknow,5,Good,False,675000
Skoda,Octavia,Style,2013,Petrol,Automatic,182141,1934,14.9,2nd Owner,Lucknow,5,Good,False,400000
Honda,City,VX,2024,Petrol,Manual,22915,1548,18.6,1st Owner,Mumbai,5,Poor,True,700000
Renault,Triber,RXT,2014,Petrol,Automatic,151595,949,20.1,4+ Owners,Kolkata,7,Excellent,True,120000
Tata,Tiago,XZ+,2021,Petrol,Automatic,37432,1199,21.3,3rd Owner,Lucknow,5,Fair,True,225000
Mahindra,Bolero,B6,2019,Diesel,Manual,87215,1543,15.9,3rd Owner,Bengaluru,7,Poor,False,205000
Honda,Amaze,E,2017,Petrol,Manual,95739,1199,18.1,4+ Owners,Mumbai,5,Fair,False,120000
Toyota,Fortuner,2.7 4x2,2017,Diesel,Automatic,83632,2755,14.1,4+ Owners,Mumbai,7,Poor,True,570000
Volkswagen,Polo,Comfortline,2019,Petrol,Manual,74848,949,18.0,3rd Owner,Kochi,5,Fair,False,175000
Tata,Punch,Adventure,2015,Petrol,Manual,83255,1149,20.6,4+ Owners,Chandigarh,5,Fair,True,120000
Honda,City,ZX,2017,Hybrid,Manual,110955,1548,16.4,2nd Owner,Pune,5,Excellent,True,350000
Hyundai,Grand i10 Nios,Era,2016,Petrol,Automatic,123655,1147,21.1,3rd Owner,Bengaluru,5,Excellent,False,130000
Mahindra,Scorpio-N,Z8,2023,Diesel,Automatic,28961,2184,13.5,1st Owner,Chennai,7,Good,True,1080000
Honda,WR-V,VX,2016,Diesel,Manual,86823,1548,16.2,1st Owner,Hyderabad,5,Poor,True,175000
Skoda,Slavia,Style,2020,Petrol,Automatic,61655,1548,17.9,2nd Owner,Pune,5,Good,False,470000
Mahindra,Thar,LX Diesel AT,2016,Diesel,Automatic,116595,2184,14.8,1st Owner,Pune,4,Poor,True,350000
Kia,Seltos,X-Line,2015,Petrol,Automatic,91157,1497,16.5,1st Owner,Delhi,5,Poor,False,350000
Tata,Altroz,XZ,2023,Petrol,Manual,36571,1149,18.2,3rd Owner,Kochi,5,Poor,True,265000
Maruti Suzuki,Alto,Std,2024,Petrol,Manual,20772,846,26.0,4+ Owners,Pune,5,Good,False,200000
Honda,WR-V,SV,2018,Diesel,Manual,51136,1548,18.8,4+ Owners,Ahmedabad,5,Poor,False,150000
Volkswagen,Polo,Comfortline,2024,Petrol,Manual,13115,1049,18.5,4+ Owners,Ahmedabad,5,Fair,False,295000
BMW,X1,sDrive20i,2014,Petrol,Automatic,170572,1945,16.5,4+ Owners,Chennai,5,Fair,False,450000
Tata,Punch,Pure,2024,Petrol,Automatic,29568,1249,21.1,3rd Owner,Delhi,5,Fair,False,355000
Toyota,Glanza,V,2020,Petrol,Manual,64606,1247,23.1,2nd Owner,Vadodara,5,Fair,True,245000
